probability,decision,risk_level
0.786565224666211,REJECT,High
0.4860847815248318,REJECT,High
0.5623189152369817,REJECT,High
0.4755766036593777,REJECT,High
0.6237658134348536,REJECT,High
0.5374883298357797,REJECT,High
0.382518478771972,REVIEW,Medium
0.26904564327053354,REVIEW,Medium
0.30837225978845,REVIEW,Medium
0.4346549178189253,REJECT,High
0.4333313465740366,REJECT,High
0.16592855281605165,APPROVE,Low
0.3101319874207348,REVIEW,Medium
0.5097737849389002,REJECT,High
0.3744447796410735,REVIEW,Medium
0.2857288445182513,REVIEW,Medium
0.254574992046292,REVIEW,Medium
0.3665272897776343,REVIEW,Medium
0.18653246539265955,APPROVE,Low
0.5015156453683476,REJECT,High
0.5585673846259562,REJECT,High
0.5030666881191812,REJECT,High
0.471864639448387,REJECT,High
0.5629806526117443,REJECT,High
0.5657858302906373,REJECT,High
0.4349761692659596,REJECT,High
0.772088916350987,REJECT,High
0.12451689707253168,APPROVE,Low
0.47633293608402055,REJECT,High
0.6165691914385115,REJECT,High
0.45198983138937704,REJECT,High
0.41538790466600584,REJECT,High
0.2637004544795385,REVIEW,Medium
0.31702383217018465,REVIEW,Medium
0.7122401945207427,REJECT,High
0.4133791331624561,REJECT,High
0.22309177966144741,REVIEW,Medium
0.6795243511393846,REJECT,High
0.47818841656078037,REJECT,High
0.36228754209181957,REVIEW,Medium
0.19818660823030046,APPROVE,Low
0.9073730902108774,REJECT,High
0.42874540142462986,REJECT,High
0.3366124608980376,REVIEW,Medium
0.3678650847034906,REVIEW,Medium
0.27628699628039904,REVIEW,Medium
0.24217258541446934,REVIEW,Medium
0.28965493497987466,REVIEW,Medium
0.10106099013828297,APPROVE,Low
0.7760686622454299,REJECT,High
0.2545798968190328,REVIEW,Medium
0.12936598642482938,APPROVE,Low
0.44144104588730115,REJECT,High
0.7443274699151134,REJECT,High
0.14854355047426968,APPROVE,Low
0.47907741076662586,REJECT,High
0.6169960950211189,REJECT,High
0.548619257223206,REJECT,High
0.4597608456420389,REJECT,High
0.5076132630550368,REJECT,High
0.38737431613311946,REVIEW,Medium
0.8398869687103172,REJECT,High
0.1076869136705819,APPROVE,Low
0.19467687121178742,APPROVE,Low
0.32609603006617954,REVIEW,Medium
0.4529403865048073,REJECT,High
0.4814006641835657,REJECT,High
0.6296157240965425,REJECT,High
0.5496447932182976,REJECT,High
0.24399299820411155,REVIEW,Medium
0.47842933846296687,REJECT,High
0.433614379757589,REJECT,High
0.1964760091387342,APPROVE,Low
0.4187889357033653,REJECT,High
0.21816172260065125,REVIEW,Medium
0.2723981105857437,REVIEW,Medium
0.49187193873972956,REJECT,High
0.16273945340823384,APPROVE,Low
0.654874574149973,REJECT,High
0.49907136392062823,REJECT,High
0.27765994296893526,REVIEW,Medium
0.4505070859156248,REJECT,High
0.709808578348317,REJECT,High
0.5363246822888852,REJECT,High
0.41365033913902993,REJECT,High
0.5018722955296064,REJECT,High
0.1936303468389824,APPROVE,Low
0.4266079770219529,REJECT,High
0.5416615499339538,REJECT,High
0.290403753979019,REVIEW,Medium
0.8944871465836594,REJECT,High
0.17843606323116987,APPROVE,Low
0.4772964797850011,REJECT,High
0.44382959264629035,REJECT,High
0.7209603750035299,REJECT,High
0.14693290203997275,APPROVE,Low
0.45938873678539904,REJECT,High
0.6608310548376692,REJECT,High
0.154560636780896,APPROVE,Low
0.40875193577275837,REJECT,High
0.4085764186138049,REJECT,High
0.5177150794822921,REJECT,High
0.1420767816411654,APPROVE,Low
0.2980362493650202,REVIEW,Medium
0.03215025095324427,APPROVE,Low
0.2782459726171209,REVIEW,Medium
0.3854525941167722,REVIEW,Medium
0.0008164790650870513,APPROVE,Low
0.7266977256241773,REJECT,High
0.3293442267439517,REVIEW,Medium
0.2415248057533185,REVIEW,Medium
0.7554497694744301,REJECT,High
0.3886061531653021,REVIEW,Medium
0.3640180223635731,REVIEW,Medium
0.5382863584317571,REJECT,High
0.3151791625741247,REVIEW,Medium
0.6993562162029161,REJECT,High
0.7728718336736556,REJECT,High
0.5944492667786498,REJECT,High
0.7109855618031147,REJECT,High
0.4824628476533264,REJECT,High
0.5632993612982137,REJECT,High
0.4785562583288021,REJECT,High
0.8952474656417022,REJECT,High
0.7007586493962964,REJECT,High
0.37949805274601495,REVIEW,Medium
0.4705529424641616,REJECT,High
0.30496482283507553,REVIEW,Medium
0.1373702103176282,APPROVE,Low
0.2477357157043453,REVIEW,Medium
0.4711057033035739,REJECT,High
0.2822684881699061,REVIEW,Medium
0.48522812752595557,REJECT,High
0.2099722204427218,REVIEW,Medium
0.7863498145323073,REJECT,High
0.13548363088420012,APPROVE,Low
0.45652894305939107,REJECT,High
0.6094344020407744,REJECT,High
0.4245268211016077,REJECT,High
0.12723143161191303,APPROVE,Low
0.4179629393027681,REJECT,High
0.28473400627479983,REVIEW,Medium
0.26436211283755223,REVIEW,Medium
0.9023574529133767,REJECT,High
0.21750547259823405,REVIEW,Medium
0.28342482888778425,REVIEW,Medium
0.4816757808300111,REJECT,High
0.1975079119769937,APPROVE,Low
0.5305964439980768,REJECT,High
0.6323679918444134,REJECT,High
0.4540082102917579,REJECT,High
0.23125837286711548,REVIEW,Medium
0.6778694308156676,REJECT,High
0.3208455892742818,REVIEW,Medium
0.21910293170644524,REVIEW,Medium
0.2633722788665848,REVIEW,Medium
0.4715638264297034,REJECT,High
0.31819719317881073,REVIEW,Medium
0.486062224562544,REJECT,High
0.3474463214018358,REVIEW,Medium
0.46259834668242306,REJECT,High
0.4605301702367159,REJECT,High
0.8014420688449381,REJECT,High
0.6757294893352801,REJECT,High
0.29837552668338646,REVIEW,Medium
0.28022455829897536,REVIEW,Medium
0.2776785525968687,REVIEW,Medium
0.16091004163952652,APPROVE,Low
0.3873439098820428,REVIEW,Medium
0.4989935862606102,REJECT,High
0.2750954456398174,REVIEW,Medium
0.8031366802207389,REJECT,High
0.37334833483131497,REVIEW,Medium
0.2330693006962268,REVIEW,Medium
0.26543883803409324,REVIEW,Medium
0.5813790664786833,REJECT,High
0.3146782503853707,REVIEW,Medium
0.5552265169505299,REJECT,High
0.6503166050425648,REJECT,High
0.2904516146595641,REVIEW,Medium
0.4124967398005054,REJECT,High
0.0997325662627421,APPROVE,Low
0.13090928106752445,APPROVE,Low
0.5827035993613298,REJECT,High
0.6477681853678005,REJECT,High
0.5335050027778809,REJECT,High
0.19793910781606494,APPROVE,Low
0.7450137883855963,REJECT,High
0.5720384835570858,REJECT,High
0.8929537023400598,REJECT,High
0.42149721460026646,REJECT,High
0.8654453255776021,REJECT,High
0.5063513335187774,REJECT,High
0.16330770727167895,APPROVE,Low
0.2925310039918431,REVIEW,Medium
0.7455101794501323,REJECT,High
0.17251645923512923,APPROVE,Low
0.09810713994791691,APPROVE,Low
0.6836402966901469,REJECT,High
0.4823694388045003,REJECT,High
0.7495342782914367,REJECT,High
0.42999382447776446,REJECT,High
0.21692280505237688,REVIEW,Medium
0.4834485761514925,REJECT,High
0.3789898556064361,REVIEW,Medium
0.27199724468023834,REVIEW,Medium
0.21145796917186527,REVIEW,Medium
0.4056227337294535,REJECT,High
0.656859620432064,REJECT,High
0.43286012737750007,REJECT,High
0.7431552138841863,REJECT,High
0.10940320513351454,APPROVE,Low
0.1404064327097256,APPROVE,Low
0.22913366599756615,REVIEW,Medium
0.25229848808878386,REVIEW,Medium
0.23517493526744873,REVIEW,Medium
0.7205325747343674,REJECT,High
0.29042064759981956,REVIEW,Medium
0.4510830231585455,REJECT,High
0.3656170053725799,REVIEW,Medium
0.0769397979367991,APPROVE,Low
0.7452180148232143,REJECT,High
0.4499566344979091,REJECT,High
0.3872846159308798,REVIEW,Medium
0.168065274975236,APPROVE,Low
0.6098736485086803,REJECT,High
0.5014469311664288,REJECT,High
0.21635343436208682,REVIEW,Medium
0.7273028395278855,REJECT,High
0.5718548641292555,REJECT,High
0.46456656069009483,REJECT,High
0.27804604901010765,REVIEW,Medium
0.28668913289930714,REVIEW,Medium
0.17630270346991034,APPROVE,Low
0.45925972640662055,REJECT,High
0.4797413342680479,REJECT,High
0.07259752450880773,APPROVE,Low
0.47995267391805263,REJECT,High
0.45270732928750035,REJECT,High
0.42833934780511673,REJECT,High
0.4714086109693519,REJECT,High
0.4082812967158873,REJECT,High
0.8030386182742282,REJECT,High
0.6522407863147663,REJECT,High
0.20071508154720505,REVIEW,Medium
0.41834047736040547,REJECT,High
0.3739392243559296,REVIEW,Medium
0.6931242453356814,REJECT,High
0.370544449014121,REVIEW,Medium
0.41956919619031174,REJECT,High
0.6932503486124991,REJECT,High
0.14491799906625769,APPROVE,Low
0.17929623410991113,APPROVE,Low
0.1633557794449112,APPROVE,Low
0.46087891992422464,REJECT,High
0.2962842082568736,REVIEW,Medium
0.6504228885049732,REJECT,High
0.14957537190257483,APPROVE,Low
0.3598579983272635,REVIEW,Medium
0.3897139058237705,REVIEW,Medium
0.28700624582307316,REVIEW,Medium
0.2818668497831384,REVIEW,Medium
0.7536979205862944,REJECT,High
0.18935793291924188,APPROVE,Low
0.25529554906324503,REVIEW,Medium
0.6477063748542508,REJECT,High
0.4426836488493766,REJECT,High
0.7785848819153804,REJECT,High
0.6420284568766097,REJECT,High
0.5614546056964065,REJECT,High
0.8637861899581963,REJECT,High
0.2792417485041897,REVIEW,Medium
0.5359629147039943,REJECT,High
0.6769867014182823,REJECT,High
0.27220070556645937,REVIEW,Medium
0.35053531748496175,REVIEW,Medium
0.4688079926290172,REJECT,High
0.328029229288771,REVIEW,Medium
0.7758247060634933,REJECT,High
0.7859759778278531,REJECT,High
0.3219225475683448,REVIEW,Medium
0.5860920038434341,REJECT,High
0.28978610303594793,REVIEW,Medium
0.2709293281605698,REVIEW,Medium
0.25472072028280107,REVIEW,Medium
0.5189186133570131,REJECT,High
0.15829261327137042,APPROVE,Low
0.5535645535640946,REJECT,High
0.3719262983231065,REVIEW,Medium
0.3608104096291039,REVIEW,Medium
0.28650992567307526,REVIEW,Medium
0.2838519903923046,REVIEW,Medium
0.8653278137905628,REJECT,High
0.3203459674737444,REVIEW,Medium
0.7009905607339413,REJECT,High
0.07901374128864042,APPROVE,Low
0.37420972228680716,REVIEW,Medium
0.1699332524557399,APPROVE,Low
0.6953864245693406,REJECT,High
0.407219330970913,REJECT,High
0.393246831922277,REVIEW,Medium
0.2976698816827115,REVIEW,Medium
0.1510860215115516,APPROVE,Low
0.27338241902716337,REVIEW,Medium
0.7292430442605318,REJECT,High
0.7179060893162899,REJECT,High
0.4631785288617451,REJECT,High
0.15160507052210065,APPROVE,Low
0.47997758064572826,REJECT,High
0.4119282120027065,REJECT,High
0.7261857648074556,REJECT,High
0.24988148005010996,REVIEW,Medium
0.44730326078293536,REJECT,High
0.27923736475437616,REVIEW,Medium
0.5181353253586032,REJECT,High
0.4088923416190602,REJECT,High
0.4240542110899541,REJECT,High
0.1458470149523324,APPROVE,Low
0.2669581924968764,REVIEW,Medium
0.548253984123397,REJECT,High
0.2698216532112235,REVIEW,Medium
0.312560314731058,REVIEW,Medium
0.8731405153417215,REJECT,High
0.47612055923998586,REJECT,High
0.46210324598424457,REJECT,High
0.5096744140294746,REJECT,High
0.42924680988228503,REJECT,High
0.4360373072409727,REJECT,High
0.7896437487945427,REJECT,High
0.30306572195701514,REVIEW,Medium
0.23156887891800193,REVIEW,Medium
0.4928997073471103,REJECT,High
0.23819385754585956,REVIEW,Medium
0.431402995274163,REJECT,High
0.3136792713610777,REVIEW,Medium
0.3151383263830417,REVIEW,Medium
0.25168345574443585,REVIEW,Medium
0.4326088679766989,REJECT,High
0.5067607530114472,REJECT,High
0.6533565879388453,REJECT,High
0.2719100355366873,REVIEW,Medium
0.37018431264885293,REVIEW,Medium
0.4491624086749993,REJECT,High
0.23735370322643082,REVIEW,Medium
0.18983300439708958,APPROVE,Low
0.40514698078252714,REJECT,High
0.36276707164023847,REVIEW,Medium
0.2866417425313611,REVIEW,Medium
0.7790120704602805,REJECT,High
0.44672975055483555,REJECT,High
0.44155166715334665,REJECT,High
0.42973321923866886,REJECT,High
0.7369964871829655,REJECT,High
0.774482650224665,REJECT,High
0.057871754000697044,APPROVE,Low
0.8766531803897655,REJECT,High
0.5159997654285676,REJECT,High
0.4964948775013875,REJECT,High
0.7177146351281637,REJECT,High
0.5645021048444252,REJECT,High
0.4393216122452887,REJECT,High
0.6852477291926686,REJECT,High
0.6092755010543499,REJECT,High
0.38096968190511754,REVIEW,Medium
0.43079589259156675,REJECT,High
0.5306805580238234,REJECT,High
0.18374416450995562,APPROVE,Low
0.4725642495613606,REJECT,High
0.4381068317136598,REJECT,High
0.29835667075246547,REVIEW,Medium
0.163630236126362,APPROVE,Low
0.5372793463138982,REJECT,High
0.16075334196268126,APPROVE,Low
0.34592108642239744,REVIEW,Medium
0.5287341912318582,REJECT,High
0.14268168404729156,APPROVE,Low
0.9119600050067389,REJECT,High
0.3928579735119314,REVIEW,Medium
0.3975287181204756,REVIEW,Medium
0.6066835583740351,REJECT,High
0.1497227059337659,APPROVE,Low
0.5404497798770994,REJECT,High
0.38837620172963977,REVIEW,Medium
0.3886948655135103,REVIEW,Medium
0.6122712202639048,REJECT,High
0.5389703674531137,REJECT,High
0.4850195401867439,REJECT,High
0.6850176015054755,REJECT,High
0.3645561367151912,REVIEW,Medium
0.2759326405051118,REVIEW,Medium
0.3171700645210151,REVIEW,Medium
0.4091839296664767,REJECT,High
0.20488841005737954,REVIEW,Medium
0.1721870389659669,APPROVE,Low
0.4920190081693055,REJECT,High
0.6734083768167614,REJECT,High
0.4807906592654076,REJECT,High
0.21035148770284204,REVIEW,Medium
0.4760272628888424,REJECT,High
0.4020607599531345,REJECT,High
0.9101852504196735,REJECT,High
0.4545152929454419,REJECT,High
0.5584657568429191,REJECT,High
0.3544907532554421,REVIEW,Medium
0.22254906446467226,REVIEW,Medium
0.5287977732621386,REJECT,High
0.5703385877380048,REJECT,High
0.5363243988094516,REJECT,High
0.5647322647673392,REJECT,High
0.3962374697592965,REVIEW,Medium
0.3939757015659149,REVIEW,Medium
0.7414819388645568,REJECT,High
0.3278212611851486,REVIEW,Medium
0.23767152830762914,REVIEW,Medium
0.4098744119841237,REJECT,High
0.26742360941637167,REVIEW,Medium
0.46492699252094566,REJECT,High
0.9686040928511621,REJECT,High
0.19805929387576443,APPROVE,Low
0.06884725301191641,APPROVE,Low
0.5031117007759768,REJECT,High
0.3415243057203964,REVIEW,Medium
0.5477910436570632,REJECT,High
0.5028847266487227,REJECT,High
0.393765805757791,REVIEW,Medium
0.5280025264428605,REJECT,High
0.5630095649201661,REJECT,High
0.4457871010523574,REJECT,High
0.37812680512748054,REVIEW,Medium
0.15720040109224506,APPROVE,Low
0.3370237984780289,REVIEW,Medium
0.40990775265783147,REJECT,High
0.44009755380404786,REJECT,High
0.5569657601929519,REJECT,High
0.8142029484794662,REJECT,High
0.31170687021964777,REVIEW,Medium
0.5094432223122561,REJECT,High
0.33056749275778774,REVIEW,Medium
0.470427178026223,REJECT,High
0.37669522967826624,REVIEW,Medium
0.75949773076437,REJECT,High
0.5993337720332986,REJECT,High
0.6399763625806882,REJECT,High
0.3240719108195521,REVIEW,Medium
0.675994533836083,REJECT,High
0.16949144138264596,APPROVE,Low
0.30868301950879046,REVIEW,Medium
0.39283595533970406,REVIEW,Medium
0.4625180807708929,REJECT,High
0.3918549702210376,REVIEW,Medium
0.2889696778618841,REVIEW,Medium
0.6467710036755023,REJECT,High
0.7188322605327877,REJECT,High
0.46829646520225515,REJECT,High
0.2278262488058547,REVIEW,Medium
0.43419811048184476,REJECT,High
0.37652557128998376,REVIEW,Medium
0.758929896655462,REJECT,High
0.1627543001206694,APPROVE,Low
0.2959186201529984,REVIEW,Medium
0.36326310950999624,REVIEW,Medium
0.3683108497113094,REVIEW,Medium
0.9125058714747374,REJECT,High
0.32565859685540877,REVIEW,Medium
0.4118447261961266,REJECT,High
0.2961827816542403,REVIEW,Medium
0.23884289907819495,REVIEW,Medium
0.6849685473525441,REJECT,High
0.513739409750175,REJECT,High
0.6579631932347227,REJECT,High
0.49245916344166557,REJECT,High
0.7511501832051555,REJECT,High
0.3796784776009499,REVIEW,Medium
0.027407399871522877,APPROVE,Low
0.516785211305944,REJECT,High
0.5120796540300067,REJECT,High
0.48358550902592,REJECT,High
0.14516978589512086,APPROVE,Low
0.31782737984249815,REVIEW,Medium
0.4353557268625788,REJECT,High
0.36426770734001923,REVIEW,Medium
0.4598104839832198,REJECT,High
0.4118176976019637,REJECT,High
0.28912395813693464,REVIEW,Medium
0.4616764850286253,REJECT,High
0.43989159373665354,REJECT,High
0.217891325644666,REVIEW,Medium
0.49818987850400914,REJECT,High
0.22689115961197043,REVIEW,Medium
0.7103751364842436,REJECT,High
0.7331851521697953,REJECT,High
0.31812646778428905,REVIEW,Medium
0.6563434929701076,REJECT,High
0.4528086662642092,REJECT,High
0.3727819780212099,REVIEW,Medium
0.8272542431069602,REJECT,High
0.8061477904566617,REJECT,High
0.3170155834935467,REVIEW,Medium
0.6789133893442545,REJECT,High
0.7388329889836786,REJECT,High
0.5751110472053282,REJECT,High
0.47362100705895593,REJECT,High
0.41568674919784476,REJECT,High
0.2234987327728707,REVIEW,Medium
0.2943978801782756,REVIEW,Medium
0.43207990909251226,REJECT,High
0.42553799851244206,REJECT,High
0.4617134796514061,REJECT,High
0.5105993377231104,REJECT,High
0.4064737805891877,REJECT,High
0.40551845255123065,REJECT,High
0.2866548748010598,REVIEW,Medium
0.46882932373980746,REJECT,High
0.3342448963034636,REVIEW,Medium
0.35346564893292365,REVIEW,Medium
0.4479003720802983,REJECT,High
0.5121287540360668,REJECT,High
0.6862748951258272,REJECT,High
0.8073743387704418,REJECT,High
0.734847765003217,REJECT,High
0.24916580176004086,REVIEW,Medium
0.3852793264866715,REVIEW,Medium
0.4315979414328091,REJECT,High
0.6927595289035358,REJECT,High
0.4461512437212243,REJECT,High
0.5659936022462598,REJECT,High
0.19120598396021612,APPROVE,Low
0.3811674347171107,REVIEW,Medium
0.5496148721053683,REJECT,High
0.5540423714445325,REJECT,High
0.46328416066772277,REJECT,High
0.19256219381201595,APPROVE,Low
0.423731481387194,REJECT,High
0.4855330253120734,REJECT,High
0.3620993704714222,REVIEW,Medium
0.2952521382419938,REVIEW,Medium
0.190945478935303,APPROVE,Low
0.2707069780019479,REVIEW,Medium
0.4335347111282476,REJECT,High
0.1664730148134686,APPROVE,Low
0.628308284870475,REJECT,High
0.25976951879537225,REVIEW,Medium
0.17890475423333665,APPROVE,Low
0.7754228187793193,REJECT,High
0.7493055715201212,REJECT,High
0.488630807072917,REJECT,High
0.30000990419770035,REVIEW,Medium
0.1042223972743968,APPROVE,Low
0.18071996509495483,APPROVE,Low
0.34694891425656643,REVIEW,Medium
0.4093211787915862,REJECT,High
0.4619761307030889,REJECT,High
0.3014487013746476,REVIEW,Medium
0.34186912785628265,REVIEW,Medium
0.2636765219586918,REVIEW,Medium
0.6658977614968602,REJECT,High
0.29847251477631137,REVIEW,Medium
0.7610026650712076,REJECT,High
0.5507748754482389,REJECT,High
0.717529400375893,REJECT,High
0.4477732987358703,REJECT,High
0.5076763634648517,REJECT,High
0.2864706974781881,REVIEW,Medium
0.36807291809124687,REVIEW,Medium
0.48496177754437664,REJECT,High
0.3514793068112279,REVIEW,Medium
0.5878901800558195,REJECT,High
0.455393295754324,REJECT,High
0.7445515906401143,REJECT,High
0.42016787091525964,REJECT,High
0.18406792857401696,APPROVE,Low
0.28399146483679966,REVIEW,Medium
0.43148238578105685,REJECT,High
0.2686058760374761,REVIEW,Medium
0.4218910854696846,REJECT,High
0.3335820925436807,REVIEW,Medium
0.3604659033572909,REVIEW,Medium
0.3995475404109449,REVIEW,Medium
0.4677341518143981,REJECT,High
0.3643787451682251,REVIEW,Medium
0.2653574923963509,REVIEW,Medium
0.1576280769844142,APPROVE,Low
0.3204540961623161,REVIEW,Medium
0.5170849217894408,REJECT,High
0.4234757543559402,REJECT,High
0.42867543238007916,REJECT,High
0.3009379597280671,REVIEW,Medium
0.46671213262409633,REJECT,High
0.6853061381348728,REJECT,High
0.28708971292344665,REVIEW,Medium
0.31085868649215026,REVIEW,Medium
0.46399864001401087,REJECT,High
0.47912202711464397,REJECT,High
0.11792276569391014,APPROVE,Low
0.5482287715546122,REJECT,High
0.18731073649370955,APPROVE,Low
0.6979522139843598,REJECT,High
0.4353206705785136,REJECT,High
0.1490135800066818,APPROVE,Low
0.20776337247202548,REVIEW,Medium
0.39870444917027886,REVIEW,Medium
0.6443791564971045,REJECT,High
0.24963747843650094,REVIEW,Medium
0.35554108739351487,REVIEW,Medium
0.5003891264837301,REJECT,High
0.7978626150054694,REJECT,High
0.38478093089167753,REVIEW,Medium
0.42937354566606933,REJECT,High
0.3994523084310074,REVIEW,Medium
0.17415062024047612,APPROVE,Low
0.43863366467810916,REJECT,High
0.48614807221523043,REJECT,High
0.3855374293002437,REVIEW,Medium
0.1719254457026106,APPROVE,Low
0.534008134186684,REJECT,High
0.45679144025559537,REJECT,High
0.4308430733859552,REJECT,High
0.3217135799026454,REVIEW,Medium
0.48685308132906785,REJECT,High
0.455985484534908,REJECT,High
0.11308984064173176,APPROVE,Low
0.11944384138973664,APPROVE,Low
0.48468468269380066,REJECT,High
0.3755446993770553,REVIEW,Medium
0.40321431084668247,REJECT,High
0.4942587661272852,REJECT,High
0.5109157163089345,REJECT,High
0.8253359045677102,REJECT,High
0.49890177790768764,REJECT,High
0.033676411731081206,APPROVE,Low
0.37905466877729616,REVIEW,Medium
0.3614865367646611,REVIEW,Medium
0.31261831959444353,REVIEW,Medium
0.37092790108393797,REVIEW,Medium
0.39794936519872964,REVIEW,Medium
0.41340508388457503,REJECT,High
0.30999569221114553,REVIEW,Medium
0.43721254821892513,REJECT,High
0.3340665006806674,REVIEW,Medium
0.4265093836500396,REJECT,High
0.3931897204179333,REVIEW,Medium
0.3909103566543914,REVIEW,Medium
0.8677110188207288,REJECT,High
0.11567461792633102,APPROVE,Low
0.3888786234837159,REVIEW,Medium
0.23926754197478883,REVIEW,Medium
0.4300031632351626,REJECT,High
0.04292724777345787,APPROVE,Low
0.32105772113910497,REVIEW,Medium
0.19733999255918447,APPROVE,Low
0.7682460958578332,REJECT,High
0.18305816611755496,APPROVE,Low
0.6984353398516899,REJECT,High
0.34487521198370374,REVIEW,Medium
0.19831711448896588,APPROVE,Low
0.17805603983553897,APPROVE,Low
0.506016970143631,REJECT,High
0.2309926992334431,REVIEW,Medium
0.31168956599462966,REVIEW,Medium
0.36278670407441493,REVIEW,Medium
0.4912714641346016,REJECT,High
0.3957322667354657,REVIEW,Medium
0.19710194480416343,APPROVE,Low
0.4586164112863926,REJECT,High
0.37921747510913134,REVIEW,Medium
0.34681026160298317,REVIEW,Medium
0.41327255569008586,REJECT,High
0.4251951026809458,REJECT,High
0.4979525573167563,REJECT,High
0.09276415272160787,APPROVE,Low
0.4879696495670454,REJECT,High
0.7592244749204075,REJECT,High
0.11305297988386602,APPROVE,Low
0.38438402562499885,REVIEW,Medium
0.5168696926773005,REJECT,High
0.3442516631531774,REVIEW,Medium
0.645290034525159,REJECT,High
0.4781374731230169,REJECT,High
0.2100740580528774,REVIEW,Medium
0.5566993386898273,REJECT,High
0.2891420227837145,REVIEW,Medium
0.23700166443141713,REVIEW,Medium
0.5816630841167318,REJECT,High
0.3275721396919792,REVIEW,Medium
0.2882295922075032,REVIEW,Medium
0.42931630535172627,REJECT,High
0.40514347276260554,REJECT,High
0.4045514932721811,REJECT,High
0.8531262740139066,REJECT,High
0.4960634019058366,REJECT,High
0.3015535954446561,REVIEW,Medium
0.4390824227532049,REJECT,High
0.355857361011602,REVIEW,Medium
0.5408196383781307,REJECT,High
0.40082542772510116,REJECT,High
0.442909401073392,REJECT,High
0.172011584798629,APPROVE,Low
0.312413887480627,REVIEW,Medium
0.1375618324086743,APPROVE,Low
0.3731881790612563,REVIEW,Medium
0.4298545941157828,REJECT,High
0.8839130014950891,REJECT,High
0.44006631957060754,REJECT,High
0.34380164112080586,REVIEW,Medium
0.40541582081146765,REJECT,High
0.5445200844071925,REJECT,High
0.4130548682652223,REJECT,High
0.896544101873864,REJECT,High
0.4326999213821906,REJECT,High
0.6644739082720902,REJECT,High
0.43471812744508376,REJECT,High
0.41663575755843557,REJECT,High
0.1883499144989373,APPROVE,Low
0.17261094420793377,APPROVE,Low
0.3188663070482846,REVIEW,Medium
0.6716204933103683,REJECT,High
0.267200713776233,REVIEW,Medium
0.3936133443969304,REVIEW,Medium
0.7883184491076061,REJECT,High
0.2031532600753231,REVIEW,Medium
